Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
AUDIO-VISUAL SPECIALIST,CHICAGO PUBLIC LIBRARY,F,SALARY,,93252,
GIS DATA BASE ANALYST,DEPARTMENT OF TECHNOLOGY AND INNOVATION,F,SALARY,,110880,
REGIONAL LIBRARY DIRECTOR,CHICAGO PUBLIC LIBRARY,F,SALARY,,126672,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,124854,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
CHIEF PROGRAMMER/ANALYST,DEPARTMENT OF TECHNOLOGY AND INNOVATION,F,SALARY,,155352,
HEAD OF PLANNING,DEPARTMENT OF TECHNOLOGY AND INNOVATION,F,SALARY,,187236,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
AIRPORT INFORMATION COORDINATOR,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,56172,
PUBLIC HEALTH NUTRITIONIST II,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,57588,
AIRPORT OPERATIONS SUPVSR II,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,96648,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,154074,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SENIOR POLICY ANALYST,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,F,SALARY,,85104,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
STAFF ASST,DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,F,SALARY,,69912,
MICROBIOLOGIST III,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,112020,
FIELD SERVICES DIR,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,127536,
CHIEF ELECTRICAL INSPECTOR,DEPARTMENT OF BUILDINGS,F,SALARY,,127584,
LEGISLATIVE BUDGET ANALYST,CITY COUNCIL,F,SALARY,,87432,
CHIEF ASST CORPORATION COUNSEL,DEPARTMENT OF LAW,F,SALARY,,162000,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
ADMINISTRATIVE ASST III,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,63732,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
SANITATION CLERK,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,52896,
DEPUTY PROCUREMENT OFFICER,DEPARTMENT OF PROCUREMENT SERVICES,F,SALARY,,152748,
PROGRAM AUDITOR II,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,97668,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
SENIOR DATA ENTRY OPERATOR,CHICAGO POLICE DEPARTMENT,F,SALARY,,77424,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
SR INFORMATION ANALYST-IGO,OFFICE OF INSPECTOR GENERAL,F,SALARY,,82644,
ADMINISTRATIVE ASST,CITY COUNCIL,F,SALARY,,78996,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
ALDERMANIC AIDE,CITY COUNCIL,P,HOURLY,20,,15.8
PUBLIC HEALTH NUTRITIONIST II,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,57588,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
BUILDING/CONSTRUCTION INSPECTOR,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,112212,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
PRINCIPAL CLERK-ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,60276,
MAJOR CASE SPECIALIST-COPA,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,F,SALARY,,133428,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
AIRPORT OPERATIONS SUPVSR II,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,135120,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
INFORMATION SERVICES COORD,CHICAGO POLICE DEPARTMENT,F,SALARY,,80304,
EMERGENCY MANAGEMENT COORD,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,71004,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
ADMINISTRATIVE SERVICES OFFICER II,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,F,SALARY,,92328,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,92808,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,122196,
RECRUITER,DEPARTMENT OF HUMAN RESOURCES,F,SALARY,,96624,
EXECUTIVE SECRETARY II,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,102336,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,154074,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
COMMUNITY LIVING SPECIALIST,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,102468,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,F,SALARY,,44292,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
MANAGER OF VEHICLE MAINTENANCE,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,SALARY,,115488,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,F,SALARY,,59400,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,63420,
GENERAL LABORER - DSS,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,24.91
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
ALDERMANIC AIDE,CITY COUNCIL,P,HOURLY,20,,25
FINANCIAL ANALYST,OFFICE OF BUDGET & MANAGEMENT,F,SALARY,,70872,
SENIOR PROGRAMMER/ANALYST,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,96624,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
PROJECT COORD,OFFICE OF PUBLIC SAFETY ADMINISTRATION,F,SALARY,,70872,
MANAGING DEPUTY COMMISSIONER - 41,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,179412,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,97926,
CLERK III,CHICAGO POLICE DEPARTMENT,F,SALARY,,70608,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
RESEARCH AND POLICY ANALYST - CPD,CHICAGO POLICE DEPARTMENT,F,SALARY,,98664,
CIVIL ENGINEER IV,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,96624,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
EXEC ADMINISTRATIVE ASST II,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,80628,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
PROGRAM DIR,MAYORS OFFICE FOR PEOPLE WITH DISABILITIES,F,SALARY,,94992,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
BUILDING/CONSTRUCTION INSPECTOR,DEPARTMENT OF BUILDINGS,F,SALARY,,135120,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,154074,
SR RECOVERY TEAM PROGRAM MGR,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,127308,
SENIOR CLERK-ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,61788,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
ALDERMANIC AIDE,CITY COUNCIL,P,HOURLY,20,,32
AUDITOR IV,DEPARTMENT OF FINANCE,F,SALARY,,126480,
FIRE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,82848,
SANITARIAN II,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,73188,
SENIOR DATA ENTRY OPERATOR,CHICAGO POLICE DEPARTMENT,F,SALARY,,77424,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
ASPHALT LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,44.01
ACCOUNTING TECHNICIAN,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,63732,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY,F,SALARY,,59364,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,149502,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
PROJECTS ADMINISTRATOR,DEPARTMENT OF BUILDINGS,F,SALARY,,112056,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
SENIOR PERSONNEL ASSISTANT,CHICAGO PUBLIC LIBRARY,F,SALARY,,93252,
COMMANDER,CHICAGO POLICE DEPARTMENT,F,SALARY,,186636,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
STATION MANAGER,DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,F,SALARY,,126720,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,97668,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
DISTRICT CHIEF,CHICAGO FIRE DEPARTMENT,F,SALARY,,199572,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
DIR OF INFORMATION SYSTEMS,DEPARTMENT OF PROCUREMENT SERVICES,F,SALARY,,118128,
FILTRATION ENGINEER III,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,122196,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
ASST DIR OF NEWS AFFAIRS,CHICAGO FIRE DEPARTMENT,F,SALARY,,102456,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
EPIDEMIOLOGIST IV,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,133524,
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,122196,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,102336,
MANAGING ENGINEER - WATER MANAGEMENT,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,134040,
CIVIL ENGINEER V,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,115440,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
GIS ANALYST,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,66684,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
ALDERMANIC AIDE,CITY COUNCIL,P,HOURLY,20,,20
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
PROJECT MANAGER - AIS,DEPARTMENT OF TECHNOLOGY AND INNOVATION,F,SALARY,,112056,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SENIOR CLERK-ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,61788,
MANAGING DEPUTY COMMISSIONER,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,164004,
DEPUTY DISTRICT CHIEF,CHICAGO FIRE DEPARTMENT,F,SALARY,,186144,
DISTRICT CHIEF,CHICAGO FIRE DEPARTMENT,F,SALARY,,199572,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SUPERVISING CLERK,DEPARTMENT OF FINANCE,F,SALARY,,60780,
BRIDGE OPERATOR,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,57996,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,F,SALARY,,87168,
INVESTIGATOR-CFD,CHICAGO FIRE DEPARTMENT,F,SALARY,,74244,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
DIR OF PUBLIC AFFAIRS,DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,F,SALARY,,107688,
ASSISTANT COMMISSIONER -43,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,129936,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,75588,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,97926,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,154074,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
PROJECT MANAGER - AIS,DEPARTMENT OF TECHNOLOGY AND INNOVATION,F,SALARY,,113172,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,122196,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
SR LANDSCAPE PLAN EXAMINER,DEPARTMENT OF PLANNING AND DEVELOPMENT,F,SALARY,,112020,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,93342,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
BUSINESS COMPLIANCE INVESTIGATOR,DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,F,SALARY,,123168,
ACCOUNTING TECHNICIAN,DEPARTMENT OF FINANCE,F,SALARY,,55392,
EXPLOSIVES TECHNICIAN I,CHICAGO POLICE DEPARTMENT,F,SALARY,,131916,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
ASST CORPORATION COUNSEL SUPVSR,DEPARTMENT OF LAW,F,SALARY,,159324,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,F,SALARY,,44292,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
PROJECT MANAGER - AIS,DEPARTMENT OF TECHNOLOGY AND INNOVATION,F,SALARY,,114300,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
DEPUTY CHIEF OF STAFF,OFFICE OF THE MAYOR,F,SALARY,,189324,
SENIOR PERSONNEL ASSISTANT,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,58956,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
CLERK IV,DEPARTMENT OF FINANCE,F,SALARY,,48960,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
INVESTIGATOR-CFD,CHICAGO FIRE DEPARTMENT,F,SALARY,,70872,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LEGISLATIVE AIDE,CITY COUNCIL,F,SALARY,,79824,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
ADMINISTRATIVE ASST II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,60780,
BRIDGE OPERATOR,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,81108,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
PROJECTS ADMINISTRATOR,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,98472,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
ATTORNEY,CHICAGO POLICE DEPARTMENT,F,SALARY,,96624,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
ASST TO THE CITY TREASURER,CITY TREASURER'S OFFICE,F,SALARY,,66240,
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.29
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
CITY PLANNER V,DEPARTMENT OF PLANNING AND DEVELOPMENT,F,SALARY,,82752,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,122196,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,F,SALARY,,75828,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY,P,HOURLY,20,,17.8
SR PROJECT MGR - MAYOR'S OFFICE,OFFICE OF THE MAYOR,F,SALARY,,114732,
LEAD PRESSMAN,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,SALARY,,107100,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
WARD SUPERINTENDENT,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,86520,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
BUILDING/CONSTRUCTION INSPECTOR,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,96648,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SUBPOENA OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,123168,
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY,P,HOURLY,20,,16.51
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,F,SALARY,,90192,
ALDERMAN,CITY COUNCIL,F,SALARY,,118152,
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,F,SALARY,,62136,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SENIOR DATA ENTRY OPERATOR,CHICAGO FIRE DEPARTMENT,F,SALARY,,77424,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
CITY PLANNER V,DEPARTMENT OF PLANNING AND DEVELOPMENT,F,SALARY,,86520,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
CIVIL ENGINEER V,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,102876,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
